Agents: 161 Resources: 442 K Value: 10
28, 220, 271, 416, 78, 321, 289, 147, 284, 187 
86, 432, 210, 82, 7, 271, 140, 213, 313, 136 
418, 172, 425, 47, 439, 181, 109, 200, 61, 346 
224, 53, 27, 302, 355, 285, 210, 201, 174, 328 
21, 207, 353, 307, 367, 427, 20, 111, 192, 166 
86, 214, 440, 0, 422, 167, 158, 293, 138, 5 
425, 334, 11, 155, 136, 230, 63, 363, 357, 47 
81, 153, 169, 163, 248, 339, 378, 320, 129, 410 
128, 276, 393, 350, 100, 396, 348, 52, 241, 2 

29, 352, 375, 226, 187, 146, 25, 247, 78, 229 
128, 392, 51, 423, 396, 45, 271, 67, 194, 49 
4, 389, 233, 57, 2, 136, 322, 257, 208, 33 
357, 361, 276, 302, 135, 256, 261, 282, 363, 222 
259, 435, 166, 434, 207, 175, 77, 349, 230, 133 
191, 12, 30, 267, 312, 326, 51, 108, 399, 86 
282, 61, 401, 340, 328, 362, 92, 98, 86, 210 
306, 75, 301, 373, 155, 110, 432, 216, 17, 207 
30, 248, 440, 56, 292, 81, 413, 343, 389, 432 
341, 282, 324, 155, 222, 182, 415, 161, 284, 109 
90, 268, 186, 339, 255, 420, 117, 252, 331, 399 
382, 413, 397, 214, 9, 305, 167, 272, 16, 53 
159, 4, 233, 414, 2, 21, 234, 113, 18, 276 
341, 111, 156, 269, 170, 106, 129, 0, 255, 193 
293, 53, 386, 92, 302, 60, 218, 126, 93, 340 
318, 258, 124, 72, 280, 335, 199, 342, 180, 43 
386, 81, 277, 387, 22, 64, 116, 107, 391, 170 
174, 328, 87, 330, 347, 9, 107, 152, 354, 214 
129, 266, 423, 89, 138, 156, 320, 420, 331, 56 
230, 166, 133, 151, 275, 19, 404, 406, 378, 33 
202, 186, 130, 314, 341, 346, 277, 222, 169, 425 
166, 47, 332, 346, 181, 275, 381, 177, 48, 140 
392, 7, 220, 429, 271, 362, 338, 416, 191, 198 
179, 295, 241, 229, 318, 44, 372, 384, 33, 46 
222, 361, 81, 262, 310, 266, 282, 269, 415, 11 
4, 2, 228, 160, 296, 379, 247, 322, 333, 73 
205, 181, 145, 408, 339, 306, 405, 102, 39, 260 
30, 86, 112, 177, 51, 224, 93, 108, 297, 195 
186, 149, 360, 339, 69, 101, 286, 377, 142, 178 
368, 195, 229, 384, 199, 97, 106, 404, 215, 194 
282, 311, 269, 266, 314, 81, 106, 62, 192, 30 
399, 367, 418, 425, 212, 164, 182, 298, 275, 438 
412, 166, 3, 111, 349, 439, 359, 275, 216, 381 
198, 288, 311, 7, 416, 286, 220, 87, 263, 271 
268, 386, 410, 56, 277, 190, 254, 406, 255, 339 
83, 159, 381, 224, 209, 234, 109, 279, 300, 136 
301, 324, 111, 310, 218, 374, 343, 306, 184, 130 
416, 338, 7, 220, 150, 208, 360, 317, 237, 379 
423, 175, 152, 378, 71, 24, 108, 391, 95, 251 
222, 282, 138, 297, 56, 361, 129, 51, 269, 232 
392, 361, 261, 269, 67, 396, 51, 239, 171, 303 
425, 317, 333, 55, 18, 394, 109, 208, 152, 258 
301, 181, 47, 300, 275, 182, 317, 361, 185, 310 
287, 90, 339, 268, 56, 376, 389, 186, 260, 296 
276, 396, 144, 196, 194, 45, 97, 31, 8, 63 
135, 31, 236, 396, 363, 148, 63, 350, 194, 391 
350, 391, 62, 236, 363, 194, 51, 256, 327, 97 
10, 217, 186, 195, 231, 39, 260, 251, 425, 55 
24, 423, 326, 251, 153, 6, 7, 198, 346, 227 
331, 311, 67, 26, 314, 157, 161, 135, 430, 75 
217, 29, 352, 404, 231, 268, 90, 101, 308, 125 
161, 346, 405, 282, 138, 51, 314, 157, 273, 165 
129, 86, 440, 163, 427, 331, 254, 138, 266, 285 
261, 267, 30, 406, 251, 186, 90, 12, 436, 389 
255, 406, 292, 81, 379, 56, 339, 190, 186, 389 
81, 292, 156, 440, 186, 20, 338, 386, 433, 249 
28, 88, 143, 78, 18, 100, 368, 383, 423, 194 
4, 42, 186, 379, 333, 441, 45, 40, 437, 375 
179, 384, 342, 72, 295, 100, 18, 80, 303, 28 
393, 396, 276, 63, 256, 31, 52, 100, 33, 67 
191, 261, 271, 7, 416, 362, 174, 430, 95, 104 
338, 43, 372, 261, 7, 416, 362, 429, 271, 392 
254, 205, 301, 343, 152, 353, 15, 218, 349, 86 
112, 177, 126, 21, 388, 22, 50, 368, 329, 216 
229, 89, 189, 289, 35, 80, 134, 25, 421, 180 
72, 291, 264, 304, 125, 84, 124, 35, 383, 28 
255, 277, 39, 386, 117, 410, 81, 34, 417, 238 
230, 275, 209, 166, 28, 408, 334, 181, 386, 427 
255, 269, 0, 62, 273, 266, 191, 312, 326, 161 
33, 51, 213, 350, 45, 423, 194, 236, 135, 113 
276, 100, 396, 416, 170, 69, 137, 16, 259, 385 
249, 343, 316, 55, 317, 221, 14, 418, 420, 159 
324, 64, 310, 390, 374, 343, 182, 393, 113, 1 
163, 332, 418, 321, 182, 172, 346, 75, 334, 205 
43, 258, 44, 280, 199, 72, 125, 335, 421, 342 
273, 285, 86, 173, 89, 112, 380, 243, 378, 156 
390, 381, 75, 47, 40, 166, 334, 349, 438, 366 
140, 256, 271, 348, 276, 398, 341, 426, 63, 415 
302, 361, 310, 357, 301, 8, 11, 64, 41, 337 
30, 267, 120, 51, 224, 326, 108, 175, 210, 406 
82, 246, 272, 265, 60, 293, 433, 53, 192, 126 
284, 34, 358, 202, 300, 155, 266, 65, 39, 282 
217, 186, 405, 231, 39, 339, 74, 286, 10, 296 
269, 267, 222, 251, 282, 266, 297, 261, 312, 420 
425, 365, 72, 422, 173, 285, 440, 129, 163, 153 
77, 126, 367, 79, 165, 87, 166, 374, 343, 47 
223, 238, 235, 98, 91, 368, 369, 6, 268, 297 
223, 395, 37, 327, 226, 91, 146, 369, 6, 304 
357, 156, 86, 177, 112, 355, 126, 386, 167, 401 
240, 191, 248, 267, 255, 0, 30, 277, 261, 422 
347, 278, 269, 155, 311, 51, 59, 432, 300, 81 
133, 75, 306, 20, 253, 381, 40, 76, 14, 55 
86, 112, 177, 285, 272, 167, 126, 53, 5, 273 
304, 199, 372, 226, 187, 54, 421, 342, 78, 280 
51, 372, 302, 128, 231, 198, 393, 7, 67, 213 
342, 38, 229, 80, 44, 35, 226, 187, 182, 54 
310, 359, 382, 239, 234, 62, 329, 176, 135, 192 
129, 302, 248, 269, 266, 56, 32, 192, 173, 62 
249, 254, 383, 311, 265, 159, 87, 117, 227, 302 
51, 108, 128, 399, 30, 148, 312, 175, 251, 7 
341, 284, 300, 387, 263, 164, 222, 64, 68, 298 
350, 363, 311, 63, 396, 440, 26, 256, 393, 97 
288, 202, 356, 132, 224, 181, 263, 390, 40, 298 
53, 71, 15, 39, 272, 292, 79, 254, 105, 386 
399, 251, 269, 326, 267, 222, 128, 108, 391, 323 
191, 277, 415, 62, 314, 406, 286, 0, 258, 433 
341, 75, 70, 434, 155, 181, 402, 197, 145, 132 
301, 215, 216, 166, 102, 118, 205, 418, 171, 20 
191, 419, 52, 148, 108, 169, 157, 78, 181, 162 
410, 378, 163, 331, 248, 46, 266, 156, 398, 374 
328, 346, 284, 0, 182, 440, 94, 41, 364, 235 
282, 361, 266, 338, 310, 307, 7, 297, 391, 261 
